id,region,month,year,kwh,bill_amount,household_size,submitter_name,created_at
285,Nord-Ouest,5,2024,91.08,4554.0,10,Marie Martin,2026-04-22 13:45:31.145096
286,Nord-Ouest,12,2025,97.99,4900.0,8,Marie Martin,2025-05-18 13:45:31.145096
287,Extrême-Nord,10,2024,23.81,1191.0,4,Stephanie Vincent,2025-06-22 13:45:31.145096
288,Littoral,10,2024,122.86,6516.0,2,Isabelle Lefevre,2025-05-06 13:45:31.145096
289,Sud,12,2024,80.03,4002.0,2,Nicolas Garnier,2025-06-05 13:45:31.145096
290,Nord,7,2024,75.12,3756.0,6,Michel Durand,2025-12-19 13:45:31.145096
291,Littoral,9,2024,138.52,7753.0,7,Valerie Blanchard,2025-12-16 13:45:31.145096
292,Nord,6,2025,54.45,2722.0,2,Marc Leduc,2025-09-22 13:45:31.145096
293,Est,5,2026,68.36,3418.0,9,Anne Leblanc,2025-12-18 13:45:31.145096
294,Ouest,9,2026,73.4,3670.0,7,Emma Mercier,2025-07-16 13:45:31.145096
295,Littoral,5,2026,153.09,8904.0,4,Emma Mercier,2025-09-06 13:45:31.145096
296,Centre,5,2026,221.42,14302.0,7,Isabelle Lefevre,2026-03-04 13:45:31.145096
297,Nord-Ouest,4,2024,67.42,3371.0,6,Marc Leduc,2025-12-18 13:45:31.145096
298,Littoral,5,2025,177.26,10814.0,1,Florence Mathieu,2026-02-17 13:45:31.145096
299,Sud-Ouest,2,2026,48.49,2425.0,9,Emma Mercier,2025-09-30 13:45:31.145096
300,Nord,6,2025,63.17,3158.0,6,Emma Mercier,2025-08-26 13:45:31.145096
301,Sud-Ouest,4,2025,112.78,5720.0,3,Jean Dupont,2026-03-11 13:45:31.145096
302,Nord-Ouest,11,2025,102.21,5111.0,4,Jean Dupont,2026-01-05 13:45:31.145096
303,Sud-Ouest,12,2024,53.29,2665.0,6,Sophie Garcia,2025-09-04 13:45:31.145096
304,Nord-Ouest,12,2025,81.9,4095.0,8,Anonyme,2025-05-02 13:45:31.145096
305,Est,2,2026,112.81,5722.0,9,Isabelle Lefevre,2025-06-12 13:45:31.145096
306,Sud-Ouest,1,2025,39.69,1984.0,4,Benjamin Leroy,2025-06-09 13:45:31.145096
307,Est,12,2024,35.7,1785.0,4,Luc Fontaine,2025-12-27 13:45:31.145096
308,Ouest,5,2026,157.18,9227.0,5,Pierre Bernard,2025-08-17 13:45:31.145096
309,Adamaoua,4,2026,65.33,3266.0,1,Nicolas Garnier,2025-12-18 13:45:31.145096
310,Nord-Ouest,8,2024,122.15,6460.0,6,Florence Mathieu,2026-01-04 13:45:31.145096
311,Est,11,2025,22.14,1107.0,7,Anne Leblanc,2025-12-11 13:45:31.145096
312,Nord,3,2024,59.73,2986.0,9,Michel Durand,2025-10-17 13:45:31.145096
313,Littoral,3,2026,141.78,8010.0,2,Luc Fontaine,2025-08-03 13:45:31.145096
314,Nord-Ouest,3,2026,81.9,4095.0,1,Anonyme,2025-09-19 13:45:31.145096
315,Littoral,6,2025,185.86,11493.0,3,Emma Mercier,2025-11-10 13:45:31.145096
316,Littoral,11,2025,125.92,6758.0,8,Catherine Moreau,2025-11-09 13:45:31.145096
317,Sud-Ouest,2,2025,74.19,3710.0,7,Marc Leduc,2025-12-30 13:45:31.145096
318,Nord,1,2026,54.94,2747.0,9,Stephanie Vincent,2025-11-04 13:45:31.145096
319,Nord,6,2026,33.64,1682.0,1,Isabelle Lefevre,2026-03-31 13:45:31.145096
320,Centre,7,2025,73.03,3651.0,7,Florence Mathieu,2025-12-10 13:45:31.145096
321,Extrême-Nord,6,2026,29.65,1483.0,6,Luc Fontaine,2025-08-29 13:45:31.145096
322,Extrême-Nord,2,2026,20.0,1000.0,7,Luc Fontaine,2025-09-28 13:45:31.145096
323,Centre,5,2026,172.29,10421.0,2,Claude Rousseau,2025-09-08 13:45:31.145096
324,Sud-Ouest,8,2026,89.31,4466.0,5,Michel Durand,2026-02-20 13:45:31.145096
325,Nord-Ouest,7,2024,82.22,4111.0,2,Luc Fontaine,2025-07-13 13:45:31.145096
326,Sud,4,2024,67.87,3393.0,7,Nicolas Garnier,2026-01-14 13:45:31.145096
327,Littoral,4,2024,21.2,1060.0,2,Thomas Dufour,2025-12-25 13:45:31.145096
328,Centre,3,2025,182.15,11200.0,8,Stephanie Vincent,2025-06-16 13:45:31.145096
329,Adamaoua,5,2024,113.63,5787.0,8,Anne Leblanc,2025-06-28 13:45:31.145096
330,Est,12,2024,65.89,3295.0,6,Julien Girard,2025-07-30 13:45:31.145096
331,Adamaoua,4,2026,63.85,3193.0,3,Sophie Garcia,2025-10-26 13:45:31.145096
332,Extrême-Nord,7,2026,38.42,1921.0,7,Sophie Garcia,2025-09-22 13:45:31.145096
333,Extrême-Nord,3,2024,35.05,1753.0,6,Benjamin Leroy,2025-08-14 13:45:31.145096
334,Adamaoua,9,2025,50.58,2529.0,2,Catherine Moreau,2025-04-24 13:45:31.145096
335,Ouest,6,2024,110.25,5520.0,7,Julien Girard,2025-07-15 13:45:31.145096
336,Centre,4,2024,132.03,7240.0,5,Valerie Blanchard,2026-04-11 13:45:31.145096
337,Littoral,5,2024,268.79,18044.0,1,Michel Durand,2026-04-14 13:45:31.145096
338,Littoral,3,2024,186.38,11534.0,9,Julien Girard,2025-06-23 13:45:31.145096
339,Extrême-Nord,9,2026,20.0,1000.0,10,Florence Mathieu,2026-04-04 13:45:31.145096
340,Sud-Ouest,6,2025,199.93,12604.0,6,Marc Leduc,2025-10-06 13:45:31.145096
341,Extrême-Nord,2,2026,46.95,2348.0,9,Luc Fontaine,2026-01-24 13:45:31.145096
342,Est,6,2024,141.28,7971.0,4,Nicolas Garnier,2026-03-13 13:45:31.145096
343,Est,12,2026,134.05,7400.0,2,Michel Durand,2025-12-24 13:45:31.145096
344,Littoral,10,2024,157.6,9261.0,8,Marc Leduc,2026-02-21 13:45:31.145096
345,Centre,12,2025,202.26,12789.0,9,Anonyme,2025-06-15 13:45:31.145096
346,Nord-Ouest,8,2024,55.5,2775.0,8,Julien Girard,2025-07-05 13:45:31.145096
347,Extrême-Nord,5,2025,39.8,1990.0,9,Luc Fontaine,2025-05-08 13:45:31.145096
348,Littoral,8,2026,142.32,8054.0,10,Julien Girard,2025-11-15 13:45:31.145096
349,Nord,4,2026,36.42,1821.0,5,Pierre Bernard,2025-06-12 13:45:31.145096
350,Nord-Ouest,3,2025,58.18,2909.0,2,Thomas Dufour,2025-06-08 13:45:31.145096
351,Adamaoua,11,2025,38.33,1916.0,8,Luc Fontaine,2025-06-24 13:45:31.145096
352,Nord,11,2026,54.37,2718.0,2,Luc Fontaine,2025-12-06 13:45:31.145096
353,Littoral,2,2024,70.58,3529.0,5,Stephanie Vincent,2025-10-11 13:45:31.145096
354,Nord,5,2026,96.32,4816.0,3,Pierre Bernard,2026-04-09 13:45:31.145096
355,Nord,3,2024,94.04,4702.0,10,Jean Dupont,2026-03-22 13:45:31.145096
356,Nord,12,2025,80.51,4025.0,9,Julien Girard,2025-12-21 13:45:31.145096
357,Centre,11,2026,333.6,23165.0,10,Isabelle Lefevre,2026-03-03 13:45:31.145096
358,Nord,6,2024,20.0,1000.0,6,Julien Girard,2025-11-19 13:45:31.145096
359,Nord,1,2024,33.7,1685.0,4,Michel Durand,2025-08-08 13:45:31.145096
360,Centre,7,2025,158.5,9331.0,8,Michel Durand,2025-10-27 13:45:31.145096
361,Nord,9,2025,91.93,4596.0,6,Stephanie Vincent,2025-11-05 13:45:31.145096
362,Nord,4,2025,50.15,2508.0,9,Pierre Bernard,2025-08-03 13:45:31.145096
363,Nord-Ouest,8,2025,81.64,4082.0,6,Pierre Bernard,2026-04-13 13:45:31.145096
364,Sud-Ouest,12,2026,64.6,3230.0,9,Isabelle Lefevre,2025-08-05 13:45:31.145096
365,Est,11,2026,147.45,8459.0,8,Marc Leduc,2026-03-11 13:45:31.145096
366,Centre,8,2026,184.21,11362.0,1,Marc Leduc,2025-11-23 13:45:31.145096
367,Sud-Ouest,9,2024,74.09,3704.0,4,Pierre Bernard,2025-06-16 13:45:31.145096
368,Adamaoua,10,2025,149.89,8651.0,8,Florence Mathieu,2026-03-09 13:45:31.145096
369,Adamaoua,10,2024,86.3,4315.0,6,Jean Dupont,2026-01-20 13:45:31.145096
370,Sud,9,2024,20.0,1000.0,6,Isabelle Lefevre,2025-11-24 13:45:31.145096
371,Est,4,2024,68.03,3402.0,1,Pierre Bernard,2025-08-17 13:45:31.145096
372,Est,9,2025,187.56,11627.0,2,Julien Girard,2025-06-10 13:45:31.145096
373,Nord-Ouest,6,2024,124.74,6664.0,1,Emma Mercier,2025-07-14 13:45:31.145096
374,Nord,1,2026,90.14,4507.0,10,Anonyme,2026-03-03 13:45:31.145096
375,Ouest,7,2025,166.7,9979.0,3,Marc Leduc,2025-07-08 13:45:31.145096
376,Ouest,12,2025,143.11,8115.0,6,Benjamin Leroy,2025-10-17 13:45:31.145096
377,Sud-Ouest,2,2024,69.59,3480.0,5,Nicolas Garnier,2025-05-14 13:45:31.145096
378,Extrême-Nord,3,2026,42.52,2126.0,7,Benjamin Leroy,2025-04-27 13:45:31.145096
379,Est,7,2025,125.88,6755.0,6,Marc Leduc,2025-10-12 13:45:31.145096
380,Littoral,12,2025,154.01,8977.0,4,Marc Leduc,2026-04-04 13:45:31.145096
381,Sud-Ouest,5,2026,90.27,4514.0,3,Valerie Blanchard,2025-10-19 13:45:31.145096
382,Nord,6,2026,75.4,3770.0,1,Jean Dupont,2025-05-24 13:45:31.145096
383,Nord,6,2026,63.15,3158.0,3,Isabelle Lefevre,2026-02-02 13:45:31.145096
384,Extrême-Nord,6,2024,33.21,1660.0,2,Jean Dupont,2026-03-22 13:45:31.145096
385,Sud,3,2026,20.0,1000.0,4,Pierre Bernard,2025-10-31 13:45:31.145096
386,Nord-Ouest,11,2024,79.23,3961.0,1,Anne Leblanc,2025-11-28 13:45:31.145096
387,Centre,8,2025,207.09,13170.0,6,Emma Mercier,2025-12-30 13:45:31.145096
388,Ouest,4,2024,92.01,4600.0,5,Catherine Moreau,2025-08-13 13:45:31.145096
389,Sud,11,2025,107.4,5370.0,8,Florence Mathieu,2026-02-25 13:45:31.145096
390,Ouest,1,2024,136.28,7576.0,2,Emma Mercier,2025-07-22 13:45:31.145096
391,Ouest,2,2024,53.29,2665.0,6,Isabelle Lefevre,2025-10-06 13:45:31.145096
392,Centre,5,2024,159.72,9428.0,3,Sophie Garcia,2025-09-04 13:45:31.145096
393,Sud,4,2026,69.0,3450.0,7,Anonyme,2025-08-13 13:45:31.145096
394,Littoral,8,2024,148.16,8515.0,9,Claude Rousseau,2025-08-09 13:45:31.145096
395,Sud,9,2025,77.24,3862.0,5,Michel Durand,2026-01-13 13:45:31.145096
396,Centre,10,2025,177.74,10852.0,2,Claude Rousseau,2025-10-20 13:45:31.145096
397,Nord-Ouest,4,2026,72.23,3611.0,3,Benjamin Leroy,2026-04-10 13:45:31.145096
398,Centre,10,2026,188.59,11708.0,6,Thomas Dufour,2026-01-05 13:45:31.145096
399,Centre,7,2024,210.67,13453.0,4,Catherine Moreau,2025-10-31 13:45:31.145096
400,Extrême-Nord,7,2025,51.05,2552.0,2,Stephanie Vincent,2025-07-14 13:45:31.145096
401,Adamaoua,11,2025,107.92,5396.0,10,Pierre Bernard,2025-05-04 13:45:31.145096
402,Nord-Ouest,11,2025,76.06,3803.0,10,Luc Fontaine,2025-10-04 13:45:31.145096
403,Est,5,2025,54.44,2722.0,1,Pierre Bernard,2025-07-13 13:45:31.145096
404,Nord-Ouest,9,2025,37.65,1883.0,9,Stephanie Vincent,2026-02-03 13:45:31.145096
405,Centre,8,2025,98.48,4924.0,7,Anne Leblanc,2026-02-11 13:45:31.145096
406,Centre,6,2025,136.45,7589.0,10,Luc Fontaine,2025-12-19 13:45:31.145096
407,Extrême-Nord,4,2025,33.6,1680.0,7,Isabelle Lefevre,2026-03-29 13:45:31.145096
408,Sud-Ouest,7,2024,87.9,4395.0,6,Florence Mathieu,2026-02-08 13:45:31.145096
409,Nord,8,2025,78.37,3919.0,6,Sophie Garcia,2026-01-21 13:45:31.145096
410,Ouest,4,2026,65.84,3292.0,3,Marie Martin,2025-08-04 13:45:31.145096
411,Est,4,2025,91.96,4598.0,6,Anne Leblanc,2025-08-10 13:45:31.145096
412,Adamaoua,4,2024,145.64,8315.0,4,Valerie Blanchard,2025-07-27 13:45:31.145096
413,Ouest,1,2024,134.49,7435.0,7,Michel Durand,2025-11-05 13:45:31.145096
414,Nord-Ouest,4,2025,93.1,4655.0,9,Anonyme,2026-04-01 13:45:31.145096
415,Nord,6,2025,97.27,4864.0,8,Marie Martin,2025-12-28 13:45:31.145096
416,Ouest,3,2026,103.42,5171.0,4,Marie Martin,2026-02-08 13:45:31.145096
417,Est,9,2024,85.38,4269.0,8,Florence Mathieu,2026-04-22 13:45:31.145096
418,Est,11,2025,106.46,5323.0,4,Julien Girard,2025-09-11 13:45:31.145096
419,Nord-Ouest,4,2025,70.5,3525.0,8,Jean Dupont,2026-01-08 13:45:31.145096
420,Nord,12,2026,87.77,4388.0,4,Marie Martin,2025-08-15 13:45:31.145096
421,Centre,3,2024,101.35,5068.0,10,Emma Mercier,2025-08-29 13:45:31.145096
422,Extrême-Nord,12,2025,41.89,2094.0,7,Nicolas Garnier,2025-08-14 13:45:31.145096
423,Adamaoua,1,2024,76.71,3835.0,1,Valerie Blanchard,2026-02-16 13:45:31.145096
424,Nord-Ouest,9,2024,64.38,3219.0,2,Stephanie Vincent,2025-05-31 13:45:31.145096
425,Centre,9,2024,173.95,10552.0,5,Emma Mercier,2025-10-24 13:45:31.145096
426,Sud-Ouest,4,2024,133.9,7388.0,7,Anne Leblanc,2025-07-24 13:45:31.145096
427,Littoral,10,2025,87.58,4379.0,1,Luc Fontaine,2025-11-27 13:45:31.145096
428,Centre,11,2024,135.73,7532.0,5,Pierre Bernard,2025-12-09 13:45:31.145096
429,Nord-Ouest,2,2026,109.61,5480.0,10,Pierre Bernard,2025-09-18 13:45:31.145096
430,Ouest,8,2026,219.26,14132.0,3,Emma Mercier,2025-10-28 13:45:31.145096
431,Littoral,9,2025,86.82,4341.0,3,Sophie Garcia,2026-03-23 13:45:31.145096
432,Extrême-Nord,1,2026,27.97,1398.0,6,Catherine Moreau,2025-05-13 13:45:31.145096
433,Sud,1,2026,31.46,1573.0,9,Anonyme,2025-04-30 13:45:31.145096
434,Sud,4,2026,69.09,3454.0,7,Pierre Bernard,2025-09-19 13:45:31.145096
435,Extrême-Nord,4,2025,22.11,1105.0,5,Valerie Blanchard,2025-06-19 13:45:31.145096
436,Sud-Ouest,2,2024,100.03,5001.0,4,Luc Fontaine,2025-11-24 13:45:31.145096
437,Nord-Ouest,7,2026,82.29,4115.0,3,Michel Durand,2025-12-03 13:45:31.145096
438,Centre,10,2024,108.55,5427.0,5,Nicolas Garnier,2025-09-15 13:45:31.145096
439,Adamaoua,8,2025,106.62,5331.0,7,Claude Rousseau,2025-10-26 13:45:31.145096
440,Nord-Ouest,9,2026,87.04,4352.0,6,Luc Fontaine,2026-03-20 13:45:31.145096
441,Est,8,2026,102.1,5105.0,9,Julien Girard,2025-06-29 13:45:31.145096
442,Ouest,9,2025,44.84,2242.0,8,Luc Fontaine,2025-09-25 13:45:31.145096
443,Adamaoua,5,2024,97.67,4883.0,10,Pierre Bernard,2025-06-22 13:45:31.145096
444,Adamaoua,5,2024,127.67,6896.0,4,Emma Mercier,2025-06-26 13:45:31.145096
445,Ouest,3,2026,131.4,7191.0,9,Valerie Blanchard,2026-03-24 13:45:31.145096
446,Est,10,2025,35.23,1762.0,2,Marie Martin,2025-08-13 13:45:31.145096
447,Nord-Ouest,11,2026,25.02,1251.0,1,Michel Durand,2025-06-20 13:45:31.145096
448,Nord-Ouest,4,2026,41.98,2099.0,5,Julien Girard,2025-08-29 13:45:31.145096
449,Sud,6,2025,35.68,1784.0,4,Jean Dupont,2026-04-02 13:45:31.145096
450,Sud,2,2025,51.31,2566.0,1,Claude Rousseau,2025-11-22 13:45:31.145096
451,Extrême-Nord,5,2026,52.24,2612.0,3,Benjamin Leroy,2025-09-07 13:45:31.145096
452,Littoral,2,2024,98.1,4905.0,9,Marie Martin,2025-09-19 13:45:31.145096
453,Sud,6,2024,20.0,1000.0,4,Thomas Dufour,2025-05-12 13:45:31.145096
454,Ouest,6,2026,91.01,4550.0,5,Michel Durand,2026-03-15 13:45:31.145096
455,Adamaoua,9,2024,88.65,4433.0,6,Thomas Dufour,2026-01-03 13:45:31.145096
456,Sud,11,2025,44.52,2226.0,9,Michel Durand,2025-11-10 13:45:31.145096
457,Ouest,8,2025,92.54,4627.0,2,Thomas Dufour,2026-02-19 13:45:31.145096
458,Est,7,2024,146.73,8401.0,3,Michel Durand,2025-10-25 13:45:31.145096
459,Littoral,10,2026,101.52,5076.0,8,Marc Leduc,2025-06-10 13:45:31.145096
460,Littoral,1,2026,128.5,6961.0,1,Marc Leduc,2026-01-29 13:45:31.145096
461,Littoral,10,2025,117.99,6132.0,7,Anne Leblanc,2025-10-01 13:45:31.145096
462,Centre,10,2025,85.68,4284.0,7,Nicolas Garnier,2026-03-26 13:45:31.145096
463,Nord-Ouest,12,2025,92.29,4615.0,8,Claude Rousseau,2025-10-25 13:45:31.145096
464,Littoral,9,2025,20.0,1000.0,6,Thomas Dufour,2025-09-21 13:45:31.145096
465,Ouest,7,2026,69.31,3465.0,7,Jean Dupont,2025-08-19 13:45:31.145096
466,Sud,10,2026,70.74,3537.0,6,Stephanie Vincent,2025-05-08 13:45:31.145096
467,Adamaoua,7,2026,75.45,3772.0,2,Pierre Bernard,2025-12-20 13:45:31.145096
468,Centre,2,2024,144.98,8263.0,10,Nicolas Garnier,2025-11-25 13:45:31.145096
469,Sud-Ouest,5,2024,86.44,4322.0,7,Claude Rousseau,2026-02-15 13:45:31.145096
470,Ouest,10,2025,151.44,8774.0,7,Florence Mathieu,2025-06-06 13:45:31.145096
471,Centre,1,2024,105.6,5280.0,5,Benjamin Leroy,2026-03-15 13:45:31.145096
472,Sud,12,2026,64.26,3213.0,2,Florence Mathieu,2025-07-26 13:45:31.145096
473,Extrême-Nord,12,2024,32.87,1643.0,5,Luc Fontaine,2026-03-20 13:45:31.145096
474,Extrême-Nord,1,2024,28.89,1445.0,4,Benjamin Leroy,2025-09-01 13:45:31.145096
475,Est,5,2026,196.64,12345.0,6,Florence Mathieu,2025-05-23 13:45:31.145096
476,Sud-Ouest,7,2024,112.73,5716.0,9,Benjamin Leroy,2025-06-10 13:45:31.145096
477,Ouest,12,2024,81.76,4088.0,7,Michel Durand,2025-09-16 13:45:31.145096
478,Sud-Ouest,11,2024,91.13,4557.0,5,Thomas Dufour,2025-07-26 13:45:31.145096
479,Nord-Ouest,10,2026,85.43,4272.0,9,Marie Martin,2025-05-03 13:45:31.145096
480,Adamaoua,7,2026,84.48,4224.0,7,Marc Leduc,2026-04-16 13:45:31.145096
481,Sud-Ouest,6,2024,53.93,2697.0,5,Catherine Moreau,2025-06-16 13:45:31.145096
482,Sud-Ouest,9,2026,57.08,2854.0,5,Valerie Blanchard,2025-06-22 13:45:31.145096
483,Nord,8,2026,52.81,2641.0,5,Valerie Blanchard,2025-10-14 13:45:31.145096
484,Nord,10,2025,72.01,3601.0,7,Florence Mathieu,2025-05-01 13:45:31.145096
485,Sud-Ouest,2,2026,76.7,3835.0,2,Isabelle Lefevre,2025-06-18 13:45:31.145096
486,Nord-Ouest,11,2026,27.21,1361.0,4,Anne Leblanc,2025-08-15 13:45:31.145096
487,Nord,1,2024,48.12,2406.0,4,Valerie Blanchard,2025-06-14 13:45:31.145096
488,Littoral,11,2024,171.03,10322.0,1,Emma Mercier,2026-02-01 13:45:31.145096
489,Centre,3,2024,151.58,8785.0,7,Sophie Garcia,2025-04-25 13:45:31.145096
490,Extrême-Nord,1,2024,20.0,1000.0,10,Luc Fontaine,2025-09-21 13:45:31.145096
491,Ouest,4,2024,118.44,6166.0,10,Valerie Blanchard,2025-04-29 13:45:31.145096
492,Littoral,12,2024,257.39,17144.0,9,Anne Leblanc,2025-05-18 13:45:31.145096
493,Sud-Ouest,7,2024,66.25,3313.0,9,Anonyme,2025-08-24 13:45:31.145096
494,Nord,10,2026,26.33,1316.0,1,Anonyme,2025-11-05 13:45:31.145096
495,Nord-Ouest,4,2025,43.06,2153.0,2,Catherine Moreau,2025-10-20 13:45:31.145096
496,Sud,7,2024,20.0,1000.0,4,Valerie Blanchard,2025-05-17 13:45:31.145096
497,Ouest,1,2024,111.6,5627.0,2,Nicolas Garnier,2025-12-31 13:45:31.145096
498,Centre,11,2025,112.28,5680.0,9,Marie Martin,2025-06-24 13:45:31.145096
499,Extrême-Nord,8,2025,38.99,1949.0,3,Julien Girard,2025-05-10 13:45:31.145096
500,Sud,5,2024,62.2,3110.0,7,Michel Durand,2026-01-23 13:45:31.145096
501,Centre,11,2024,110.52,5541.0,4,Emma Mercier,2025-10-18 13:45:31.145096
502,Sud,8,2025,46.38,2319.0,4,Pierre Bernard,2025-07-28 13:45:31.145096
503,Ouest,4,2024,86.3,4315.0,8,Jean Dupont,2025-07-21 13:45:31.145096
504,Nord,6,2024,56.24,2812.0,6,Catherine Moreau,2026-03-10 13:45:31.145096
505,Nord,8,2026,20.0,1000.0,4,Isabelle Lefevre,2025-04-24 13:45:31.145096
506,Nord,6,2025,94.79,4739.0,6,Thomas Dufour,2025-09-12 13:45:31.145096
507,Sud,4,2025,67.98,3399.0,2,Nicolas Garnier,2025-09-04 13:45:31.145096
508,Centre,5,2026,140.9,7941.0,7,Anonyme,2025-06-27 13:45:31.145096
509,Littoral,5,2024,78.59,3930.0,1,Valerie Blanchard,2025-06-05 13:45:31.145096
510,Sud,8,2024,63.06,3153.0,2,Benjamin Leroy,2026-04-14 13:45:31.145096
511,Est,6,2024,104.07,5203.0,2,Anonyme,2025-05-24 13:45:31.145096
512,Nord-Ouest,5,2026,50.27,2513.0,2,Stephanie Vincent,2026-01-30 13:45:31.145096
513,Sud-Ouest,10,2026,110.59,5546.0,10,Emma Mercier,2025-11-07 13:46:30.414591
514,Ouest,1,2024,125.02,6687.0,6,Marie Martin,2025-08-15 13:46:30.414591
515,Centre,12,2026,115.05,5899.0,5,Sophie Garcia,2025-06-08 13:46:30.414591
516,Sud,2,2026,66.8,3340.0,9,Anonyme,2025-12-09 13:46:30.414591
517,Extrême-Nord,9,2026,22.11,1105.0,9,Emma Mercier,2025-12-18 13:46:30.414591
518,Littoral,4,2026,197.6,12421.0,7,Isabelle Lefevre,2025-11-15 13:46:30.414591
519,Adamaoua,6,2024,125.82,6750.0,8,Thomas Dufour,2025-05-09 13:46:30.414591
520,Extrême-Nord,5,2025,48.83,2441.0,4,Benjamin Leroy,2026-04-12 13:46:30.414591
521,Littoral,10,2025,65.29,3264.0,6,Marc Leduc,2025-08-26 13:46:30.414591
522,Ouest,3,2025,111.47,5616.0,3,Anonyme,2026-01-21 13:46:30.414591
523,Ouest,9,2025,83.67,4184.0,3,Catherine Moreau,2025-06-26 13:46:30.414591
524,Ouest,1,2026,195.34,12242.0,4,Isabelle Lefevre,2026-04-05 13:46:30.414591
525,Nord-Ouest,10,2025,50.51,2525.0,3,Marc Leduc,2025-05-26 13:46:30.414591
526,Centre,12,2025,254.96,16952.0,6,Michel Durand,2025-08-26 13:46:30.414591
527,Ouest,8,2026,20.0,1000.0,6,Claude Rousseau,2025-09-23 13:46:30.414591
528,Centre,11,2026,156.4,9165.0,3,Florence Mathieu,2025-06-13 13:46:30.414591
529,Nord,7,2024,89.58,4479.0,10,Nicolas Garnier,2026-01-23 13:46:30.414591
530,Nord-Ouest,5,2026,93.8,4690.0,3,Marc Leduc,2025-09-09 13:46:30.414591
531,Littoral,10,2025,136.71,7610.0,6,Marc Leduc,2025-10-12 13:46:30.414591
532,Littoral,10,2026,149.96,8657.0,1,Claude Rousseau,2025-12-10 13:46:30.414591
533,Est,10,2026,54.14,2707.0,2,Julien Girard,2025-07-30 13:46:30.414591
534,Centre,6,2025,222.53,14390.0,7,Michel Durand,2025-08-25 13:46:30.414591
535,Est,7,2025,60.76,3038.0,2,Anonyme,2025-10-12 13:46:30.414591
536,Adamaoua,9,2025,116.63,6024.0,1,Jean Dupont,2025-10-22 13:46:30.414591
537,Nord-Ouest,12,2025,98.71,4936.0,4,Benjamin Leroy,2025-08-05 13:46:30.414591
538,Adamaoua,5,2026,100.37,5019.0,8,Julien Girard,2025-09-18 13:46:30.414591
539,Nord,12,2024,27.48,1374.0,5,Marc Leduc,2025-07-15 13:46:30.414591
540,Littoral,7,2026,234.74,15355.0,3,Pierre Bernard,2025-05-05 13:46:30.414591
541,Sud,9,2025,54.21,2710.0,4,Claude Rousseau,2025-11-21 13:46:30.414591
542,Nord,6,2026,53.78,2689.0,7,Benjamin Leroy,2025-05-20 13:46:30.414591
543,Littoral,6,2026,108.44,5422.0,2,Marc Leduc,2025-05-18 13:46:30.414591
544,Centre,10,2024,99.46,4973.0,4,Emma Mercier,2025-10-15 13:46:30.414591
545,Nord-Ouest,5,2026,74.47,3723.0,5,Marc Leduc,2026-04-08 13:46:30.414591
546,Extrême-Nord,12,2025,37.03,1852.0,6,Florence Mathieu,2025-11-27 13:46:30.414591
547,Extrême-Nord,4,2026,27.12,1356.0,2,Anonyme,2026-04-10 13:46:30.414591
548,Sud-Ouest,4,2025,99.3,4965.0,1,Stephanie Vincent,2025-07-18 13:46:30.414591
549,Ouest,3,2026,65.73,3286.0,8,Emma Mercier,2026-02-11 13:46:30.414591
550,Est,4,2026,20.0,1000.0,9,Marie Martin,2025-10-11 13:46:30.414591
551,Ouest,12,2024,91.19,4559.0,6,Anonyme,2025-10-17 13:46:30.414591
552,Littoral,9,2026,231.98,15136.0,1,Anne Leblanc,2025-07-08 13:46:30.414591
553,Littoral,11,2026,157.72,9270.0,5,Michel Durand,2025-08-08 13:46:30.414591
554,Sud-Ouest,11,2024,85.29,4264.0,8,Anne Leblanc,2026-04-02 13:46:30.414591
555,Littoral,10,2026,196.77,12355.0,8,Anne Leblanc,2025-07-18 13:46:30.414591
556,Littoral,10,2025,220.47,14227.0,3,Emma Mercier,2026-03-12 13:46:30.414591
557,Littoral,7,2026,194.9,12207.0,9,Marc Leduc,2026-01-02 13:46:30.414591
558,Nord-Ouest,2,2024,115.65,5947.0,8,Marc Leduc,2026-01-22 13:46:30.414591
559,Centre,8,2025,20.0,1000.0,6,Julien Girard,2025-07-02 13:46:30.414591
560,Sud-Ouest,6,2025,35.06,1753.0,3,Thomas Dufour,2026-04-11 13:46:30.414591
561,Adamaoua,9,2025,85.76,4288.0,2,Benjamin Leroy,2025-09-15 13:46:30.414591
562,Sud-Ouest,7,2024,163.15,9699.0,8,Stephanie Vincent,2025-05-29 13:46:30.414591
563,Nord,7,2024,92.53,4627.0,6,Nicolas Garnier,2025-12-19 13:46:30.414591
564,Centre,10,2026,86.0,4300.0,8,Valerie Blanchard,2026-03-25 13:46:30.414591
565,Centre,12,2024,103.79,5190.0,2,Anne Leblanc,2025-10-30 13:46:30.414591
566,Extrême-Nord,9,2026,29.77,1489.0,9,Nicolas Garnier,2025-06-08 13:46:30.414591
567,Nord,6,2026,48.07,2404.0,1,Julien Girard,2025-12-25 13:46:30.414591
568,Est,8,2025,110.72,5557.0,7,Sophie Garcia,2026-01-13 13:46:30.414591
569,Extrême-Nord,11,2026,20.0,1000.0,2,Jean Dupont,2026-01-28 13:46:30.414591
570,Adamaoua,6,2025,131.85,7226.0,7,Thomas Dufour,2026-04-09 13:46:30.414591
571,Ouest,5,2025,160.8,9513.0,10,Florence Mathieu,2025-10-19 13:46:30.414591
572,Ouest,5,2025,130.0,7080.0,8,Benjamin Leroy,2025-08-17 13:46:30.414591
